altura,latitud,longitud
10000,-72.0467432769,40.1601240002
9999,-72.0515430768,40.1528243302
9998,-72.0563416769,40.1455253202
9997,-72.0611390775,40.1382269702
9996,-72.0659352787,40.1309292802
9995,-72.0707302808,40.1236322501
9994,-72.0755240841,40.11633588
9993,-72.0803166888,40.1090401699
9992,-72.0851080952,40.1017451197
9991,-72.0898983034,40.0944507295
9990,-72.0946873137,40.0871569992
9989,-72.0994751264,40.0798639289
9988,-72.1042617417,40.0725715185
9987,-72.1090471599,40.065279768
9986,-72.1138313811,40.0579886775
9985,-72.1186144056,40.0506982469
9984,-72.1233962337,40.0434084761
9983,-72.1281768656,40.0361193653
9982,-72.1329563015,40.0288309144
9981,-72.1377345417,40.0215431234
9980,-72.1425115864,40.0142559922
9979,-72.1472874359,40.006969521
9978,-72.1520620904,39.9996837096
9977,-72.1568355501,39.9923985581
9976,-72.1616078152,39.9851140664
9975,-72.1663788861,39.9778302346
9974,-72.1711487629,39.9705470627
9973,-72.175917446,39.9632645506
9972,-72.1806849354,39.9559826983
9971,-72.1854512316,39.9487015059
9970,-72.1902163346,39.9414209732
9969,-72.1949802448,39.9341411004
9968,-72.1997429624,39.9268618875
9967,-72.2045044876,39.9195833343
9966,-72.2092648207,39.9123054409
9965,-72.2140239618,39.9050282074
9964,-72.2187819114,39.8977516336
9963,-72.2235386695,39.8904757196
9962,-72.2282942364,39.8832004654
9961,-72.2330486124,39.8759258709
9960,-72.2378017977,39.8686519362
9959,-72.2425537925,39.8613786613
9958,-72.2473045972,39.8541060462
9957,-72.2520542118,39.8468340907
9956,-72.2568026367,39.8395627951
9955,-72.2615498721,39.8322921591
9954,-72.2662959182,39.8250221829
9953,-72.2710407753,39.8177528664
9952,-72.2757844436,39.8104842096
9951,-72.2805269234,39.8032162126
9950,-72.2852682149,39.7959488752
9949,-72.2900083183,39.7886821976
9948,-72.2947472338,39.7814161796
9947,-72.2994849618,39.7741508214
9946,-72.3042215024,39.7668861228
9945,-72.3089568559,39.7596220839
9944,-72.3136910225,39.7523587046
9943,-72.3184240025,39.745095985
9942,-72.3231557961,39.7378339251
9941,-72.3278864035,39.7305725249
9940,-72.332615825,39.7233117842
9939,-72.3373440608,39.7160517033
9938,-72.3420711112,39.7087922819
9937,-72.3467969764,39.7015335202
9936,-72.3515216566,39.6942754181
9935,-72.356245152,39.6870179756
9934,-72.360967463,39.6797611927
9933,-72.3656885898,39.6725050695
9932,-72.3704085325,39.6652496058
9931,-72.3751272914,39.6579948017
9930,-72.3798448668,39.6507406572
9929,-72.3845612589,39.6434871723
9928,-72.389276468,39.636234347
9927,-72.3939904942,39.6289821812
9926,-72.3987033378,39.621730675
9925,-72.4034149991,39.6144798284
9924,-72.4081254783,39.6072296413
9923,-72.4128347756,39.5999801137
9922,-72.4175428913,39.5927312457
9921,-72.4222498256,39.5854830372
9920,-72.4269555787,39.5782354882
9919,-72.4316601509,39.5709885988
9918,-72.4363635425,39.5637423689
9917,-72.4410657536,39.5564967984
9916,-72.4457667845,39.5492518875
9915,-72.4504666354,39.5420076361
9914,-72.4551653066,39.5347640442
9913,-72.4598627983,39.5275211117
9912,-72.4645591108,39.5202788388
9911,-72.4692542443,39.5130372253
9910,-72.4739481989,39.5057962712
9909,-72.4786409751,39.4985559767
9908,-72.4833325729,39.4913163415
9907,-72.4880229927,39.4840773659
9906,-72.4927122347,39.4768390496
9905,-72.497400299,39.4696013929
9904,-72.5020871861,39.4623643955
9903,-72.506772896,39.4551280576
9902,-72.511457429,39.447892379
9901,-72.5161407854,39.4406573599
9900,-72.5208229654,39.4334230002
9899,-72.5255039693,39.4261892999
9898,-72.5301837972,39.418956259
9897,-72.5348624494,39.4117238775
9896,-72.5395399262,39.4044921554
